NodeNames,Local_Efficiency,Clustering_Coefficient,Betweenness_Centrality,E_global
lG_and_S_occipital_inf,1.65155501790053,1.62937927648454,-1.94667907215655,-0.354126384009793
lG_occipital_middle,0.654078206839573,0.429200422804438,-1.74388935354979,-0.836030701850504
lG_occipital_sup,-0.820335720096594,-1.35391676118167,0.0499353640662636,0.70274251285797
lG_oc.temp_lat.fusifor,1.00684842930485,0.638780699375239,-1.24659975852568,0.491709600441291
lG_oc.temp_med.Lingual,0.645078753285559,0.946871682915916,-1.5030581921093,-1.8324349600848
lPole_occipital,0.575525809072751,0.53594303652691,-1.33477412540447,-2.26082654760413
lS_occipital_ant,0.533248454331125,0.500439693680735,-0.044440409949446,1.38100046467174
lS_parieto_occipital,0.453068654356273,0.345625511482073,-0.356860274327585,-1.87847270750781
rG_and_S_occipital_inf,-1.13991098082959,-1.01584778877643,-0.0754720418033525,0.581171483268296
rG_occipital_middle,-0.605373311071325,-0.304007323856948,-0.486728684859636,-0.789214167077756
rG_occipital_sup,1.14552353376185,0.793382129322271,-0.238261427684919,0.259735720643946
rG_oc.temp_lat.fusifor,0.286059576056901,0.113789991089914,-0.766408314066827,-0.0874182331884042
rG_oc.temp_med.Lingual,2.20559245168583,2.26908544860843,-2.00548347086516,-2.12730024975575
rPole_occipital,-0.899189332899328,-0.828896479675952,-0.348830786852029,-1.78271416588462
rS_occipital_ant,1.49718949795491,1.64785904502457,-1.22381105799574,0.62654453629209
rS_parieto_occipital,0.978213253732748,1.27269894242856,-1.85839540246313,-2.61423219134077
