NodeNames,Local_Efficiency,Clustering_Coefficient,Betweenness_Centrality,E_global
lG_and_S_occipital_inf,1.18763442703683,1.34300090705285,-1.65507791382861,-0.532425363600306
lG_occipital_middle,-0.698372397578136,-0.853007568359502,0.657477730884008,0.342708215610793
lG_occipital_sup,-0.386051787568022,-0.306273725662802,0.20807570742551,0.646466851560458
lG_oc.temp_lat.fusifor,-1.26430445255669,-0.574228088656406,-0.106127711203772,0.419923456473837
lG_oc.temp_med.Lingual,0.08289197599136,-0.244049836766436,1.67838468821257,1.06257133916681
lPole_occipital,-1.45372490483251,-1.71876887241503,0.598719084829878,0.959751377388335
lS_occipital_ant,0,0,0.367390738348463,0.445328084959833
lS_parieto_occipital,0,0,0.594039759781617,0.466444621605502
rG_and_S_occipital_inf,0.947813016653545,1.05536148191022,-0.466836319843675,0.583668543369262
rG_occipital_middle,-0.196760207527834,0.583474370739039,-0.111757586918004,0.454843085828573
rG_occipital_sup,-0.454984597331111,0.105726858869394,0.80599944606741,0.883542304604331
rG_oc.temp_lat.fusifor,-0.454786122297837,-0.530971709587192,1.71502840841191,1.82118680255324
rG_oc.temp_med.Lingual,0.490393706171262,1.0876876802601,1.04661607403107,0.142874038231113
rPole_occipital,-0.202118955888306,0.201027362371138,0.10530770247668,0.60231112254168
rS_occipital_ant,0,0,0,2.17294793815289
rS_parieto_occipital,0,0,0.0441964690188606,0.0785610994744437
