NodeNames,Local_Efficiency,Clustering_Coefficient,Betweenness_Centrality,E_global
lG_front_middle,1.00899092589343,0.905722502370669,-1.62258025796449,-0.864635767006484
lG_front_sup,-0.0768015462877423,0.126586959196738,0.311557205786621,-0.416395430443998
lG_pariet_inf.Angular,-0.0369668843254047,-0.0688234030222803,-1.18622544326834,-0.462711260571331
lG_pariet_inf.Supramar,0.828429063558188,0.749741594012257,-0.979172857587482,-0.101374231060202
lG_parietal_sup,-0.874731893630794,-0.729784671984887,1.69472366141955,0.523864950975321
lS_front_middle,-0,-0,0.960327978175958,-0.32231052471271
lS_front_sup,-0.219966115090929,-0.222766995520941,0.631266541962381,-0.507405430628775
lS_intrapariet_and_P_trans,1.42786777585475,1.66873214187455,-1.68191937310569,-0.370453850127092
rG_front_middle,0.873275136209631,0.614199467246238,-1.18865564251725,-0.523194845054594
rG_front_sup,-1.94111804644563,-1.71382860523965,0.421137644782496,0.339179351604724
rG_pariet_inf.Angular,-1.71881548495174,-1.46202369252718,0.41627794094268,1.04445369794711
rG_pariet_inf.Supramar,0.10415375929832,0.56924666495756,-0.756863185521939,0.139837801857766
rG_parietal_sup,-2.91103544676304,-2.25220589757056,0.826117907178597,1.01448388362273
rS_front_middle,-0.494808311097632,-0.494808311098588,0.116176001165934,0.860147295097864
rS_front_sup,-0.926532632948615,-0.881839972623224,0.806187926183899,-0.168931302409618
rS_intrapariet_and_P_trans,-0.844909141313284,-0.788061061604949,0.924913455253907,0.560177032784791
