NodeNames,Local_Efficiency,Clustering_Coefficient,Betweenness_Centrality,E_global
lG_and_S_occipital_inf,-0.180604674954003,-0.565135906163787,-0.797212437202497,-0.218512941969068
lG_occipital_middle,1.39570677702856,1.05804169181207,-1.46260097319752,0.791451083059247
lG_occipital_sup,-1.05901845805049,-1.27260771095201,0.995014488966271,2.66425787256956
lG_oc.temp_lat.fusifor,-0.366728683563485,-0.40248458253181,-0.514449475269203,0.054489183774345
lG_oc.temp_med.Lingual,-0.20777798504381,-0.137777418345757,0.170848031314792,1.10613992292929
lPole_occipital,-1.40634105228641,-1.61996089449273,-0.390179697889714,0.310628502989344
lS_occipital_ant,-0.743241500423025,-0.786878660058908,1.17599892093479,-1.3010315074215
lS_parieto_occipital,0.1784575750882,0.00467058542269919,0.421497176834151,-1.10552157060103
rG_and_S_occipital_inf,-0.424679042301488,-0.310900009153821,0.465701440158383,0.341604626743323
rG_occipital_middle,0.149369728765379,0.43726545456248,-0.0928166655971484,0.957204080497128
rG_occipital_sup,2.68698492986114,2.10885527169285,-0.92383027772264,1.8775722622561
rG_oc.temp_lat.fusifor,-0.350278547552088,-0.644675585117942,-0.498495941981362,0.976731821484383
rG_oc.temp_med.Lingual,-0.000787277169251007,-0.375063454124151,1.57778322806435,1.75621306087309
rPole_occipital,-1.96235297653721,-2.2557192313862,1.53616292448746,0.445663431276767
rS_occipital_ant,0.940884949014002,0.910202612932334,-2.5912001034333,-2.60815144740715
rS_parieto_occipital,1.27823172089385,1.51248116707497,-0.994367197691216,-1.51892807933024
