NodeNames,Local_Efficiency,Clustering_Coefficient,Betweenness_Centrality,E_global
lG_and_S_occipital_inf,-0.962527456434598,-1.42126740584656,0.665229060386095,1.30049555100926
lG_occipital_middle,-0.735192081844435,-1.04242316935516,1.18406248840737,1.33085992192513
lG_occipital_sup,-1.5402884992523,-1.57274167333591,1.01608720006768,1.3669326021387
lG_oc.temp_lat.fusifor,-0.782830785104416,0.154887968758432,-0.0259274629697473,0.226560046035449
lG_oc.temp_med.Lingual,-1.1275371805968,-1.17722638611142,1.21743029053701,1.66391367848115
lPole_occipital,-0.993241298664691,-0.876137940353581,-0.0251359145024801,0.462171999605154
lS_occipital_ant,0,0,-1.19539791481659,0.797160646430606
lS_parieto_occipital,0,0,-0.0826449167226757,1.23472594174716
rG_and_S_occipital_inf,0.818842802556305,1.02027035283071,0.0766174625698501,0.675346823735668
rG_occipital_middle,-1.98207555522226,-1.89980615983286,1.97610125107991,1.64027089642901
rG_occipital_sup,-0.147258428015108,-0.575385323527854,0.232889065083021,0.870481557713672
rG_oc.temp_lat.fusifor,0.934307800531669,1.12037042744438,0.167356134222984,1.40788197755542
rG_oc.temp_med.Lingual,-1.00935594869542,-0.778639272911254,1.26936317269121,1.60870748663442
rPole_occipital,-1.23149333341727,-1.51005668437864,0.928728028374865,1.45453936802185
rS_occipital_ant,0,0,0,2.33503318331779
rS_parieto_occipital,0,0,-0.0238729734144226,1.14877398357049
