NodeNames,Local_Efficiency,Clustering_Coefficient,Betweenness_Centrality,E_global
lG_front_middle,-1.75402471296337,-1.72953391245129,-0.794872114899571,1.3952275624865
lG_front_sup,-0.137184207026876,0.0962296808927527,0.165137479412549,-0.989071465734268
lG_pariet_inf.Angular,-2.19404983714305,-2.25284443210438,1.6597075581411,1.70855113638151
lG_pariet_inf.Supramar,0.0616605751426473,-0.0258233084316619,-0.703402178680551,2.01350721429651
lG_parietal_sup,-0.721781353007155,-0.480537920857688,0.8340329885834,0.365989884587461
lS_front_middle,0.971167120348401,1.26575258249533,-2.69261263724602,-1.2181090833016
lS_front_sup,-0.390551136129727,-0.134800155725182,-1.37322823436938,-1.17377339078257
lS_intrapariet_and_P_trans,-1.3933731997802,-1.32724956600419,0.0559882810902224,1.11394317166749
rG_front_middle,-1.66556721453621,-2.070038988904,2.30052581567739,3.05505422732205
rG_front_sup,-2.25988240001287,-2.71588545507475,1.85940609498464,0.537846253122472
rG_pariet_inf.Angular,-0.492496757611038,-1.13936471449096,1.94837650831458,1.91929604094532
rG_pariet_inf.Supramar,0.437905302707429,0.394226167365316,0.181116346497806,2.23905413149106
rG_parietal_sup,0.285106357871373,0.336176153952116,-0.191203707220412,0.171644192724663
rS_front_middle,0.205847800235828,-0.223318337002105,0.648140168610959,1.22899627146636
rS_front_sup,-0.453156338434301,-0.409542598503521,2.51356710101563,1.21255757228039
rS_intrapariet_and_P_trans,-0.81806708835574,-0.562135098477105,-0.192179521293915,0.822796943760806
