NodeNames,Local_Efficiency,Clustering_Coefficient,Betweenness_Centrality,E_global
lG_front_middle,-0.476641561208701,-0.444076069736729,-0.287152368797684,1.06752692626837
lG_front_sup,-2.39279792209083,-2.23363874830283,-0.268634572934978,-0.686822311050232
lG_pariet_inf.Angular,-0.37109054003391,-0.332156381013078,-2.53194655355431,-1.02823309341259
lG_pariet_inf.Supramar,-1.59918141941349,-1.50931849665617,-0.163602661421559,0.939945484633965
lG_parietal_sup,-1.14325517597421,-0.877376445993334,0.136734184157557,-1.46996582792915
lS_front_middle,0.148478776232964,0.188718700997239,-0.90401179603938,-0.236026249841608
lS_front_sup,0.115836907049612,-0.151110919944991,0.875753468928648,1.51237466015467
lS_intrapariet_and_P_trans,-1.46895029229801,-1.39677359149825,0.251192213416305,-0.272747173333621
rG_front_middle,-0.0170968450734287,-0.126533032492174,2.52844410829092,3.17987419023618
rG_front_sup,0.276982404062971,0.463800469145041,0.0503617588441923,-0.051988542200466
rG_pariet_inf.Angular,0.244040787196712,0.448876434280416,0.409641669504779,0.99131603446177
rG_pariet_inf.Supramar,-0.614304360836736,-0.617947408629365,1.80058266312317,2.7046043346555
rG_parietal_sup,0.328308587297277,0.390912568844039,-0.810349065436953,-1.76073570285176
rS_front_middle,1.56409301167495,1.17089007681637,-0.0197502669659747,2.00725022428779
rS_front_sup,1.37682476133679,1.09344710408699,0.333940503980988,2.71367132612668
rS_intrapariet_and_P_trans,-1.08283697387776,-0.788136297631858,-0.889358804385413,-0.932004123095838
