Local_Efficiency_roi_1,Local_Efficiency_roi_2,Local_Efficiency_roi_3,Local_Efficiency_roi_4,Local_Efficiency_roi_5,Local_Efficiency_roi_6,Local_Efficiency_roi_7,Local_Efficiency_roi_8,Local_Efficiency_roi_9,Local_Efficiency_roi_10,Local_Efficiency_roi_11,Local_Efficiency_roi_12,Local_Efficiency_roi_13,Local_Efficiency_roi_14,Local_Efficiency_roi_15,Local_Efficiency_roi_16,Clustering_Coefficient_roi_1,Clustering_Coefficient_roi_2,Clustering_Coefficient_roi_3,Clustering_Coefficient_roi_4,Clustering_Coefficient_roi_5,Clustering_Coefficient_roi_6,Clustering_Coefficient_roi_7,Clustering_Coefficient_roi_8,Clustering_Coefficient_roi_9,Clustering_Coefficient_roi_10,Clustering_Coefficient_roi_11,Clustering_Coefficient_roi_12,Clustering_Coefficient_roi_13,Clustering_Coefficient_roi_14,Clustering_Coefficient_roi_15,Clustering_Coefficient_roi_16,Betweenness_Centrality_roi_1,Betweenness_Centrality_roi_2,Betweenness_Centrality_roi_3,Betweenness_Centrality_roi_4,Betweenness_Centrality_roi_5,Betweenness_Centrality_roi_6,Betweenness_Centrality_roi_7,Betweenness_Centrality_roi_8,Betweenness_Centrality_roi_9,Betweenness_Centrality_roi_10,Betweenness_Centrality_roi_11,Betweenness_Centrality_roi_12,Betweenness_Centrality_roi_13,Betweenness_Centrality_roi_14,Betweenness_Centrality_roi_15,Betweenness_Centrality_roi_16,Degree_roi_1,Degree_roi_2,Degree_roi_3,Degree_roi_4,Degree_roi_5,Degree_roi_6,Degree_roi_7,Degree_roi_8,Degree_roi_9,Degree_roi_10,Degree_roi_11,Degree_roi_12,Degree_roi_13,Degree_roi_14,Degree_roi_15,Degree_roi_16,Eigenvect_centrality_roi_1,Eigenvect_centrality_roi_2,Eigenvect_centrality_roi_3,Eigenvect_centrality_roi_4,Eigenvect_centrality_roi_5,Eigenvect_centrality_roi_6,Eigenvect_centrality_roi_7,Eigenvect_centrality_roi_8,Eigenvect_centrality_roi_9,Eigenvect_centrality_roi_10,Eigenvect_centrality_roi_11,Eigenvect_centrality_roi_12,Eigenvect_centrality_roi_13,Eigenvect_centrality_roi_14,Eigenvect_centrality_roi_15,Eigenvect_centrality_roi_16,E_global_roi_1,E_global_roi_2,E_global_roi_3,E_global_roi_4,E_global_roi_5,E_global_roi_6,E_global_roi_7,E_global_roi_8,E_global_roi_9,E_global_roi_10,E_global_roi_11,E_global_roi_12,E_global_roi_13,E_global_roi_14,E_global_roi_15,E_global_roi_16
0.310416666666667,0.208333333333333,0.354166666666667,NaN,NaN,NaN,NaN,NaN,0.542708333333333,0.530208333333333,0.527083333333333,0.33015873015873,0.415625,0.567708333333333,0.435416666666667,NaN,0.214583333333333,0.208333333333333,0.314583333333333,NaN,NaN,NaN,NaN,NaN,0.460416666666667,0.527083333333333,0.527083333333333,0.227380952380952,0.375,0.464583333333333,0.410416666666667,NaN,0.209930555555556,0.0642757936507937,0.159097222222222,0.00763888888888889,0.000892857142857143,0.0157539682539683,0,0.00114087301587302,0.184662698412698,0.0837797619047619,0.141150793650794,0.184613095238095,0.127430555555556,0.151458333333333,0.135813492063492,0.0335515873015873,5.1875,2.625,3.75,1.3125,2.0625,1.6875,1,1.625,5.1875,4.375,4.3125,5.0625,4.125,5.1875,4.0625,2.4375,0.263047715829504,0.190221054994324,0.241611433258588,0.0623594708933439,0.0694336305541624,0.126726384191303,0.067135841435535,0.101229063545693,0.404728828555135,0.350767108950921,0.357681299483504,0.226147786619588,0.170547270315321,0.384724506969738,0.277303836387345,0.0952865691120077,0.609722222222222,0.511458333333333,0.571527777777778,0.396755952380952,0.380555555555556,0.420972222222222,0.353700396825397,0.423263888888889,0.613055555555556,0.566666666666666,0.580555555555555,0.586666666666667,0.496180555555556,0.594305555555555,0.530208333333333,0.418055555555556
0.229166666666667,0.06875,0.120833333333333,NaN,NaN,0.6875,NaN,0.310416666666667,0.420833333333333,0.221279761904762,0.0416666666666667,NaN,0.380208333333333,0.601388888888889,0.210416666666667,0.236458333333333,0.183333333333333,0.0645833333333333,0.1125,NaN,NaN,0.5625,NaN,0.28125,0.291666666666667,0.192559523809524,0.0416666666666667,NaN,0.333333333333333,0.385416666666667,0.210416666666667,0.233333333333333,0.0738647959183673,0.0807412131519274,0.03593820861678,0.0360841836734694,0.00442460317460317,0.0429024943310658,0.00568168934240363,0.176193310657596,0.139053287981859,0.185222505668934,0.0127281746031746,0.0121031746031746,0.0681547619047619,0.169973072562358,0.159641439909297,0.120507369614512,4.125,3.375,2.8125,2.375,2.1875,3.1875,1.5,4.1875,4.875,5.375,2.125,1.625,3,5.6875,4.1875,3.375,0.293330221371822,0.208487752187219,0.171653767936357,0.102356708004551,0.0753632469054237,0.268993726796677,0.111010862430734,0.28530558812402,0.379189861321501,0.378658733475861,0.145587013513899,0.0547061387585653,0.110871281148223,0.450288311179036,0.271868300334255,0.138284557415294,0.554583333333333,0.523263888888889,0.488789682539682,0.359097222222222,0.417757936507936,0.520833333333333,0.423511904761905,0.584027777777778,0.603194444444444,0.619513888888889,0.451150793650794,0.310625,0.481319444444444,0.645277777777778,0.565833333333333,0.512013888888889
0.445238095238095,0.155555555555556,NaN,NaN,0.697916666666667,0.33125,0.432291666666667,0.572916666666667,0.554166666666667,0.292708333333333,0.333333333333333,NaN,1,0.369444444444444,0.39358878968254,0.947916666666667,0.351785714285714,0.11875,NaN,NaN,0.645833333333333,0.302083333333333,0.385416666666667,0.572916666666667,0.38125,0.258333333333333,0.333333333333333,NaN,1,0.279166666666667,0.291369047619048,0.895833333333333,0.105049603174603,0.266378968253968,0.0051984126984127,0,0.0957043650793651,0.0508531746031746,0.0414384920634921,0.162380952380952,0.109702380952381,0.0874206349206349,0.0881746031746032,0.115744047619048,0,0.0765972222222222,0.199226190476191,0.00863095238095238,4.3125,4.125,1.5,1.3125,3.5,3.5625,3.0625,3.5,4.4375,3,3,3.625,2.6875,4.125,5.25,3,0.305961357185308,0.245265561212403,0.0959504065300365,0.0707061135675698,0.114554115870269,0.263021347487714,0.266037978771716,0.119392187782508,0.370707789370637,0.255692789566473,0.240628348803995,0.217100373862454,0.0756738426890046,0.351260904008793,0.404726710031923,0.0790456949187863,0.557777777777778,0.570138888888889,0.377509920634921,0.357916666666667,0.460625,0.504791666666667,0.51,0.471180555555555,0.565208333333333,0.513888888888889,0.482291666666667,0.498194444444444,0.390843253968254,0.554166666666667,0.601597222222222,0.4075
0.402095734126984,0.271875,0.734375,0.0677083333333333,NaN,0.614583333333333,NaN,NaN,0.504761904761905,0.90625,0.621527777777778,NaN,NaN,0.599826388888889,NaN,0.335347222222222,0.289880952380952,0.26875,0.708333333333334,0.0625,NaN,0.520833333333333,NaN,NaN,0.337202380952381,0.8125,0.408333333333333,NaN,NaN,0.414583333333333,NaN,0.258333333333333,0.262631802721088,0.0510615079365079,0.0167091836734694,0.172413548752834,0.0414980158730159,0.0281349206349206,0.0016765873015873,0.00373511904761905,0.242588577097506,0.00962301587301587,0.0533560090702948,0,0.0652551020408163,0.131955782312925,0.106821853741497,0.16968183106576,5.25,3.4375,2.75,2.875,2,3,1.1875,1.75,6.5625,3.1875,4.5,1,2.8125,5.125,3.6875,4.875,0.332454884991254,0.226390726924564,0.22424718510793,0.0997004833231946,0.0530464206796146,0.221126556729156,0.061658733366402,0.101548892762472,0.468277554966088,0.276772480447325,0.316775060362754,0.0239154935529,0.106002273406763,0.368195792218348,0.220724485182926,0.29162720583925,0.631597222222222,0.543888888888889,0.511597222222222,0.494930555555555,0.395902777777778,0.525,0.356111111111111,0.434791666666667,0.675347222222222,0.519930555555555,0.577916666666667,0.343958333333333,0.439652777777778,0.615972222222222,0.499097222222222,0.598194444444445
0.71875,NaN,NaN,NaN,0.352430555555556,0.333333333333333,0.561458333333333,0.217708333333333,0.344791666666667,0.321875,NaN,0.365625,0.885416666666667,0.697147817460317,0.560763888888889,0.490972222222222,0.604166666666667,NaN,NaN,NaN,0.255208333333333,0.333333333333333,0.433333333333333,0.166666666666667,0.285416666666667,0.25,NaN,0.310416666666667,0.770833333333333,0.594196428571429,0.354166666666667,0.364583333333333,0.100428004535147,0.00870039682539683,0,0.0153883219954649,0.127096088435374,0.0677876984126984,0.179424603174603,0.0482738095238095,0.0626332199546485,0.101530612244898,0.0158531746031746,0.131291099773243,0.00426587301587302,0.0978202947845805,0.154447278911565,0.0570833333333333,3,1.5,0,2.5625,5.3125,3,4.3125,3.1875,3.5,4.625,2.25,4.625,2.6875,4,5.375,4.0625,0.134156667622639,0.0456519199324366,1.52186090693684e-17,0.197169732779705,0.331595372394393,0.0829962776324342,0.299788880754401,0.222895652034264,0.222210470091255,0.352747005848188,0.147275562043189,0.360742496020817,0.207124986524388,0.187471971940031,0.382833831013396,0.285017924442257,0.461458333333333,0.351388888888889,0,0.46125,0.584236111111111,0.424722222222222,0.555555555555555,0.489930555555555,0.501527777777778,0.570138888888889,0.444027777777778,0.573611111111111,0.467152777777778,0.504513888888889,0.605555555555555,0.532291666666666
0.418204365079365,0.09375,0.15625,0.583333333333333,NaN,0.636458333333333,0.71875,NaN,0.358345734126984,NaN,0.370833333333333,NaN,NaN,0.717881944444444,NaN,0.197916666666667,0.282539682539683,0.09375,0.145833333333333,0.479166666666667,NaN,0.522916666666667,0.604166666666667,NaN,0.263541666666667,NaN,0.308333333333333,NaN,NaN,0.483333333333334,NaN,0.197916666666667,0.232148526077098,0.120014172335601,0.0949107142857143,0.0555952380952381,0.0166666666666667,0.0852891156462585,0.0466765873015873,0.00241638321995465,0.186924603174603,0.0151998299319728,0.062390873015873,0.0131788548752834,0.00447420634920635,0.124753401360544,0,0.126860827664399,6.5625,3.8125,4,3,1.5,4.125,3.6875,1.5,5.0625,1.9375,3.75,2.625,1.625,5.0625,1.875,3.875,0.454870771841927,0.206109650933751,0.226654443740687,0.20749820847849,0.051489770156154,0.334516498667406,0.285817178982155,0.0707398590645112,0.331779829521958,0.104154532199368,0.230998181767208,0.17842389352971,0.0629175784382664,0.383432822512268,0.142181752190469,0.195794156969442,0.668055555555556,0.55,0.559097222222222,0.504861111111111,0.269791666666667,0.572222222222222,0.517361111111111,0.401736111111111,0.611805555555555,0.450416666666667,0.550416666666667,0.467847222222222,0.273541666666667,0.609375,0.410277777777778,0.549305555555555
0.916666666666666,0.538368055555556,0.656180555555555,0.845138888888889,NaN,0.331597222222222,NaN,NaN,0.420271164021164,NaN,0.492708333333333,0.9375,NaN,0.0833333333333333,0.395833333333333,NaN,0.833333333333333,0.377083333333333,0.469047619047619,0.725,NaN,0.26875,NaN,NaN,0.303968253968254,NaN,0.383333333333333,0.875,NaN,0.0833333333333333,0.389583333333333,NaN,0.00742063492063492,0.146313775510204,0.133942743764172,0.0230456349206349,0,0.0725212585034014,0,0.00982142857142857,0.240598072562358,0.0256264172335601,0.276009778911565,0.00882936507936508,0.0916666666666667,0.0134275793650794,0.126587301587302,0.238475056689342,3.4375,5.4375,5.6875,3.9375,1,4,1,1.875,6.375,2.625,4.9375,3,1.6875,2.25,3.4375,3.3125,0.251511684295055,0.359663845487904,0.410020204588436,0.288041521153448,0.00453866211187087,0.243401355800248,0.0522698328654304,0.0716094243151419,0.402816540512509,0.156410779189149,0.355546044181078,0.218113516375984,0.0221075655258105,0.160369114821163,0.217866841621039,0.137245784105662,0.497569444444444,0.622569444444445,0.620486111111111,0.527847222222222,0.241041666666667,0.556666666666667,0.358541666666667,0.400277777777778,0.65,0.477291666666667,0.629861111111111,0.474027777777778,0.319097222222222,0.480972222222222,0.53125,0.514583333333333
0.752083333333334,0.5375,0.302083333333333,0.5,NaN,0.958333333333333,0.604166666666667,NaN,0.681944444444444,NaN,0.5875,NaN,NaN,0.642609126984127,0.589657738095238,NaN,0.529166666666667,0.458333333333333,0.260416666666667,0.5,NaN,0.916666666666667,0.583333333333333,NaN,0.541666666666667,NaN,0.458333333333333,NaN,NaN,0.405803571428571,0.430654761904762,NaN,0.0692155612244898,0.10155470521542,0.123924319727891,0.0974454365079365,0.021671626984127,0.00529974489795918,0.0613832199546485,0.00426587301587302,0.050828373015873,0.0340178571428571,0.0540447845804989,0.00461309523809524,0.0595337301587302,0.206838860544218,0.120666099773243,0.0156490929705215,5.8125,3.9375,3.5625,4,0.875,3.5,3.5625,0.5625,4.5625,0.875,4.625,1.25,2.1875,7.625,5.5625,1.5,0.392760439806089,0.236877304039222,0.16268339448543,0.254726914774639,0.0358682160478644,0.275733361229438,0.252883466463819,0.00586320407255003,0.317791356341701,0.0254951560383317,0.269537523787236,0.0606440844111984,0.0443168755869373,0.474740671598677,0.34957765089404,0.0371344351058893,0.59875,0.538888888888889,0.516319444444444,0.51375,0.162847222222222,0.501944444444444,0.517013888888889,0.144027777777778,0.554166666666667,0.219097222222222,0.555208333333333,0.360694444444444,0.409791666666667,0.670138888888889,0.596875,0.338819444444444
0.427083333333333,NaN,NaN,1,NaN,0.833333333333333,NaN,NaN,0.819593253968254,NaN,0.598363095238095,0.947916666666667,0.302083333333333,0.4625,0.555431547619047,0.381696428571429,0.35625,NaN,NaN,1,NaN,0.791666666666667,NaN,NaN,0.666369047619047,NaN,0.449404761904762,0.895833333333333,0.25,0.3375,0.467857142857143,0.343452380952381,0.0368990929705215,0,0.0315086451247166,0,0.0113236961451247,0.0168452380952381,0,0.0416227324263038,0.116048752834467,0,0.238067602040816,0.0158163265306122,0.279917800453515,0.21078443877551,0.184744189342404,0.417016723356009,3.5,1.25,3.0625,2,1.375,2.25,1,3.1875,5.4375,1.5625,6.1875,2.3125,4,5.875,5.875,5.125,0.184529459056114,0.0814552972692842,0.205537198100322,0.0305528467970239,0.0398426589254566,0.141568421135715,0.0936069573551401,0.210821944479316,0.408075575621418,0.1336708706885,0.437959258346169,0.0463529436620291,0.0931193477833028,0.382954251500583,0.415410786059726,0.311855448758048,0.500486111111111,0.305902777777778,0.509355158730159,0.392053571428572,0.394136904761905,0.450972222222222,0.405555555555556,0.5175,0.63125,0.433472222222222,0.666319444444444,0.426150793650794,0.534513888888889,0.623611111111111,0.647222222222222,0.634513888888889
NaN,0.469791666666667,NaN,NaN,0.758680555555556,NaN,NaN,0.720833333333333,0.5359375,0.396428571428572,0.421875,NaN,0.821875,0.492361111111111,NaN,0.8125,NaN,0.460416666666667,NaN,NaN,0.55,NaN,NaN,0.552083333333333,0.404166666666667,0.393452380952381,0.416666666666667,NaN,0.697916666666667,0.364583333333333,NaN,0.635416666666667,0.0883333333333333,0.104940476190476,0.101299603174603,0.0522321428571429,0.0688789682539683,0,0.00104166666666667,0.105972222222222,0.182202380952381,0.268472222222222,0.0644940476190476,0,0.0237599206349206,0.0870535714285714,0.0184424603174603,0.0209722222222222,3.3125,4.3125,3.625,1.625,4.9375,1.4375,1.3125,4.875,4.8125,5.5625,3.5625,1,3.4375,3.8125,2.6875,3.6875,0.154270522123982,0.326009336636775,0.195112450859947,0.0437194539331986,0.39103083607721,0.0543904925563178,0.0977560597745641,0.380790932188296,0.258019819247554,0.406389165126249,0.232060795135419,0.00910362703536941,0.253283205105136,0.151034463231374,0.154570171784929,0.286080266028817,0.499166666666667,0.547916666666667,0.511944444444444,0.236527777777778,0.569236111111111,0.366458333333333,0.386597222222222,0.573263888888889,0.572916666666667,0.622916666666667,0.534375,0.176875,0.495555555555555,0.497083333333333,0.411458333333333,0.499097222222222
