AllSubjects,Age,Gender,MelodyScore,PercentageMelodyScore,RhythmScore,PercentageOfRhythmScore,TotalMETScore,PercentageOfTotalMETScore,F1,F2,F3,F4,F5,GS
1,33,2,36,69.2307692307692,36,69.2307692307692,72,69.2307692307692,32,43,23,31,24,72
1,22,1,42,80.7692307692308,35,67.3076923076923,77,74.0384615384615,20,43,8,39,15,41
1,22,2,29,55.7692307692308,37,71.1538461538462,66,63.4615384615385,41,35,9,34,10,40
1,24,2,37,71.1538461538462,42,80.7692307692308,79,75.9615384615385,26,33,7,30,25,48
1,24,1,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,20,46,25,26,26,57
1,27,2,35,67.3076923076923,42,80.7692307692308,77,74.0384615384615,21,41,25,26,25,66
1,23,2,31,59.6153846153846,40,76.9230769230769,71,68.2692307692308,40,48,9,33,38,68
1,24,2,39,75,35,67.3076923076923,74,71.1538461538462,38,38,22,32,18,56
1,22,1,30,57.6923076923077,39,75,69,66.3461538461538,29,48,12,28,22,50
1,23,1,39,75,42,80.7692307692308,81,77.8846153846154,21,33,9,20,20,38
1,19,1,31,59.6153846153846,32,61.5384615384615,63,60.5769230769231,37,44,11,32,16,53
1,21,2,37,71.1538461538462,42,80.7692307692308,79,75.9615384615385,61,53,33,40,23,90
1,37,2,40,76.9230769230769,42,80.7692307692308,82,78.8461538461538,36,54,37,37,33,91
1,24,2,43,82.6923076923077,42,80.7692307692308,85,81.7307692307692,42,46,30,29,29,77
1,24,2,41,78.8461538461538,44,84.6153846153846,85,81.7307692307692,38,45,18,33,18,59
1,24,2,38,73.0769230769231,36,69.2307692307692,74,71.1538461538462,36,54,28,35,38,92
1,22,1,27,51.9230769230769,39,75,66,63.4615384615385,32,40,12,30,32,62
1,25,2,30,57.6923076923077,40,76.9230769230769,70,67.3076923076923,43,46,10,38,26,64
1,25,1,36,69.2307692307692,46,88.4615384615385,82,78.8461538461538,26,40,9,30,23,47
1,27,1,36,69.2307692307692,35,67.3076923076923,71,68.2692307692308,29,21,10,17,13,32
1,22,2,33,63.4615384615385,34,65.3846153846154,67,64.4230769230769,35,33,9,33,15,39
1,23,1,37,71.1538461538462,36,69.2307692307692,73,70.1923076923077,31,45,15,37,25,59
1,22,1,43,82.6923076923077,48,92.3076923076923,91,87.5,54,56,23,41,30,85
1,32,2,41,78.8461538461538,43,82.6923076923077,84,80.7692307692308,40,53,37,32,40,107
1,23,2,31,59.6153846153846,34,65.3846153846154,65,62.5,35,36,7,33,32,51
1,22,2,34,65.3846153846154,35,67.3076923076923,69,66.3461538461538,31,38,11,34,29,56
1,25,2,30,57.6923076923077,28,53.8461538461538,61,58.6538461538462,39,40,16,32,25,64
1,24,1,29,55.7692307692308,36,69.2307692307692,65,62.5,16,42,19,31,24,57
1,24,2,38,73.0769230769231,33,63.4615384615385,71,68.2692307692308,29,49,20,27,14,56
1,23,1,33,63.4615384615385,41,78.8461538461538,74,71.1538461538462,29,44,24,31,22,60
1,20,1,37,71.1538461538462,41,78.8461538461538,78,75,27,43,8,29,29,55
1,23,2,36,69.2307692307692,43,82.6923076923077,79,75.9615384615385,45,42,23,34,26,71
1,24,1,41,78.8461538461538,40,76.9230769230769,81,77.8846153846154,37,57,30,34,29,81
1,24,1,46,88.4615384615385,42,80.7692307692308,60,57.6923076923077,37,59,25,35,36,82
